??_A,,,,
t,x,,x2,v
16.50 ,865.61 ,,83.84 ,-1.671777544
16.54 ,865.05 ,,83.79 ,-1.381257032
16.57 ,864.59 ,,83.74 ,-1.828121321
16.60 ,863.98 ,,83.68 ,-2.621028901
16.64 ,863.11 ,,83.59 ,-3.020522696
16.67 ,862.10 ,,83.49 ,-3.600341225
16.70 ,860.90 ,,83.37 ,-3.594754323
16.74 ,859.70 ,,83.25 ,-3.793276221
16.77 ,858.44 ,,83.13 ,-3.836436885
16.80 ,857.16 ,,83.00 ,-3.720651075
16.84 ,855.92 ,,82.88 ,-4.238007852
16.87 ,854.50 ,,82.73 ,-4.594848208
16.90 ,852.97 ,,82.58 ,-4.732439097
16.94 ,851.39 ,,82.42 ,-4.760142717
16.97 ,849.81 ,,82.26 ,-4.170094566
17.00 ,848.42 ,,82.13 ,-4.043616891
17.04 ,847.07 ,,81.99 ,-4.703182699
17.07 ,845.50 ,,81.83 ,-3.798849385
17.10 ,844.23 ,,81.71 ,-3.828818109
17.14 ,842.96 ,,81.58 ,-3.731163702
17.17 ,841.71 ,,81.46 ,-4.20435746
17.20 ,840.31 ,,81.32 ,-2.348156047
17.24 ,839.53 ,,81.24 ,-2.189661021
17.27 ,838.80 ,,81.16 ,-3.308512122
17.30 ,837.70 ,,81.05 ,-2.302236831
17.34 ,836.93 ,,80.98 ,-1.027056844
17.37 ,836.59 ,,80.94 ,-0.484843586
17.40 ,836.43 ,,80.93 ,-0.96434503
17.44 ,836.10 ,,80.89 ,-0.193065474
17.47 ,836.04 ,,80.89 ,-0.521977318
17.50 ,835.87 ,,80.87 ,0.722495778
17.54 ,836.11 ,,80.89 ,0.933549279
17.57 ,836.42 ,,80.93 ,1.525753411
17.60 ,836.93 ,,80.98 ,1.314323088
17.64 ,837.36 ,,81.02 ,2.65441304
17.67 ,838.25 ,,81.11 ,2.252599907
17.70 ,839.00 ,,81.18 ,2.695032108
17.74 ,839.90 ,,81.27 ,3.401769836
17.77 ,841.03 ,,81.39 ,3.719087427
17.80 ,842.27 ,,81.51 ,4.256293214
17.84 ,843.69 ,,81.65 ,3.978052527
17.87 ,845.02 ,,81.79 ,4.142761758
17.90 ,846.40 ,,81.92 ,4.347232496
17.94 ,847.85 ,,82.07 ,4.578135494
17.97 ,849.37 ,,82.22 ,5.283227685
18.00 ,851.14 ,,82.40 ,4.658212125
18.04 ,852.69 ,,82.55 ,5.754955652
18.07 ,854.61 ,,82.74 ,5.868717097
18.10 ,856.56 ,,82.94 ,6.133223591
18.14 ,858.61 ,,83.14 ,5.621165979
18.17 ,860.48 ,,83.33 ,6.468536866
18.20 ,862.64 ,,83.55 ,6.078261023
18.24 ,864.67 ,,83.75 ,6.389159862
18.27 ,866.80 ,,83.96 ,6.127887149
18.30 ,868.84 ,,84.17 ,6.430344444
18.34 ,870.98 ,,84.38 ,6.406004733
18.37 ,873.12 ,,84.60 ,5.865428126
